candidate_id,method,requested_ratio,questions,below_count,below_percent,tied_count,tied_percent,above_count,above_percent
legal_llmlingua2-r1p1,legal_llmlingua2,1.1,526,144,27.376425855513308,251,47.71863117870723,131,24.90494296577947
legal_llmlingua2-r1p25,legal_llmlingua2,1.25,526,162,30.79847908745247,242,46.00760456273764,122,23.193916349809886
legal_llmlingua2-r2p0,legal_llmlingua2,2.0,526,196,37.26235741444867,190,36.12167300380228,140,26.61596958174905
xprovence_six_probe_atoms-r1p1,xprovence_six_probe_atoms,1.1,526,185,35.17110266159696,211,40.11406844106464,130,24.714828897338403
xprovence_six_probe_atoms-r1p25,xprovence_six_probe_atoms,1.25,526,172,32.69961977186312,231,43.91634980988593,123,23.38403041825095
xprovence_six_probe_atoms-r2p0,xprovence_six_probe_atoms,2.0,526,218,41.444866920152094,179,34.03041825095057,129,24.524714828897338
multi_probe_bge-r1p1,multi_probe_bge,1.1,526,179,34.03041825095057,231,43.91634980988593,116,22.0532319391635
multi_probe_bge-r1p25,multi_probe_bge,1.25,526,180,34.22053231939164,220,41.82509505703422,126,23.954372623574145
multi_probe_bge-r2p0,multi_probe_bge,2.0,526,209,39.73384030418251,193,36.69201520912547,124,23.574144486692017
german_legal_selector_v2-r1p1,german_legal_selector_v2,1.1,526,158,30.03802281368821,221,42.01520912547529,147,27.9467680608365
german_legal_selector_v2-r1p25,german_legal_selector_v2,1.25,526,174,33.07984790874525,220,41.82509505703422,132,25.09505703422053
german_legal_selector_v2-r2p0,german_legal_selector_v2,2.0,526,199,37.832699619771866,189,35.93155893536122,138,26.23574144486692
dac_native_tokens-r1p1,dac_native_tokens,1.1,526,164,31.1787072243346,231,43.91634980988593,131,24.90494296577947
dac_native_tokens-r1p25,dac_native_tokens,1.25,526,202,38.40304182509506,182,34.60076045627376,142,26.99619771863118
dac_native_tokens-r2p0,dac_native_tokens,2.0,526,265,50.38022813688213,144,27.376425855513308,117,22.24334600760456
